position,tuple,winProbability
front,"[1, 14, 3]",8.0
front,"[1, 14, 4]",8.0
front,"[1, 14, 5]",8.0
front,"[1, 14, 6]",8.0
front,"[1, 14, 7]",8.0
front,"[1, 14, 8]",8.0
front,"[1, 14, 9]",8.0
front,"[1, 14, 10]",8.0
front,"[1, 14, 11]",8.0
front,"[1, 14, 12]",8.0
front,"[1, 14, 13]",8.0
front,"[1, 13, 2]",7.33
front,"[1, 13, 3]",7.33
front,"[1, 13, 4]",7.33
front,"[1, 13, 5]",7.33
front,"[1, 13, 6]",7.33
front,"[1, 13, 7]",7.33
front,"[1, 13, 8]",7.33
front,"[1, 13, 9]",7.33
front,"[1, 13, 10]",7.33
front,"[1, 13, 11]",7.33
front,"[1, 13, 12]",7.33
front,"[1, 12, 2]",6.67
front,"[1, 12, 3]",6.67
front,"[1, 12, 4]",6.67
front,"[1, 12, 5]",6.67
front,"[1, 12, 6]",6.67
front,"[1, 12, 7]",6.67
front,"[1, 12, 8]",6.67
front,"[1, 12, 9]",6.67
front,"[1, 12, 10]",6.67
front,"[1, 12, 11]",6.67
front,"[1, 11, 2]",6.0
front,"[1, 11, 3]",6.0
front,"[1, 11, 4]",6.0
front,"[1, 11, 5]",6.0
front,"[1, 11, 6]",6.0
front,"[1, 11, 7]",6.0
front,"[1, 11, 8]",6.0
front,"[1, 11, 9]",6.0
front,"[1, 11, 10]",6.0
front,"[1, 10, 2]",5.33
front,"[1, 10, 3]",5.33
front,"[1, 10, 4]",5.33
front,"[1, 10, 5]",5.33
front,"[1, 10, 6]",5.33
front,"[1, 10, 7]",5.33
front,"[1, 10, 8]",5.33
front,"[1, 10, 9]",5.33
front,"[1, 9, 2]",4.67
front,"[1, 9, 3]",4.67
front,"[1, 9, 4]",4.67
front,"[1, 9, 5]",4.67
front,"[1, 9, 6]",4.67
front,"[1, 9, 7]",4.67
front,"[1, 9, 8]",4.67
front,"[1, 8, 2]",4.0
front,"[1, 8, 3]",4.0
front,"[1, 8, 4]",4.0
front,"[1, 8, 5]",4.0
front,"[1, 8, 6]",4.0
front,"[1, 8, 7]",4.0
front,"[1, 7, 2]",3.33
front,"[1, 7, 3]",3.33
front,"[1, 7, 4]",3.33
front,"[1, 7, 5]",3.33
front,"[1, 7, 6]",3.33
front,"[1, 6, 2]",2.67
front,"[1, 6, 3]",2.67
front,"[1, 6, 4]",2.67
front,"[1, 6, 5]",2.67
front,"[1, 5, 2]",2.0
front,"[1, 5, 3]",2.0
front,"[1, 5, 4]",2.0
front,"[1, 4, 2]",1.33
front,"[1, 4, 3]",1.33
front,"[1, 3, 2]",0.67
middle,"[10, 14]",100.0
middle,"[10, 13]",100.0
middle,"[10, 12]",100.0
middle,"[10, 11]",100.0
middle,"[10, 10]",100.0
middle,"[10, 9]",100.0
middle,"[10, 8]",100.0
middle,"[10, 7]",100.0
middle,"[10, 6]",100.0
middle,"[10, 5]",100.0
middle,"[10, 4]",100.0
middle,"[10, 3]",100.0
middle,"[10, 2]",100.0
middle,"[9, 14, 13]",99.9
middle,"[9, 14, 5]",99.9
middle,"[9, 13, 12]",99.9
middle,"[9, 12, 11]",99.9
middle,"[9, 11, 10]",99.9
middle,"[9, 10, 9]",99.9
middle,"[9, 9, 8]",99.9
middle,"[9, 8, 7]",99.9
middle,"[9, 7, 6]",99.9
middle,"[9, 6, 5]",99.9
middle,"[9, 5, 4]",99.9
middle,"[8, 14, 13]",99.799
middle,"[8, 14, 12]",99.798
middle,"[8, 14, 11]",99.797
middle,"[8, 14, 10]",99.796
middle,"[8, 14, 9]",99.795
middle,"[8, 14, 8]",99.794
middle,"[8, 14, 7]",99.793
middle,"[8, 14, 6]",99.792
middle,"[8, 14, 5]",99.791
middle,"[8, 14, 4]",99.79
middle,"[8, 14, 3]",99.789
middle,"[8, 14, 2]",99.788
middle,"[8, 13, 14]",99.4
middle,"[8, 13, 12]",99.398
middle,"[8, 13, 11]",99.397
middle,"[8, 13, 10]",99.396
middle,"[8, 13, 9]",99.395
middle,"[8, 13, 8]",99.394
middle,"[8, 13, 7]",99.393
middle,"[8, 13, 6]",99.392
middle,"[8, 13, 5]",99.391
middle,"[8, 13, 4]",99.39
middle,"[8, 13, 3]",99.389
middle,"[8, 13, 2]",99.388
middle,"[8, 12, 14]",99.0
middle,"[8, 12, 13]",98.999
middle,"[8, 12, 11]",98.997
middle,"[8, 12, 10]",98.996
middle,"[8, 12, 9]",98.995
middle,"[8, 12, 8]",98.994
middle,"[8, 12, 7]",98.993
middle,"[8, 12, 6]",98.992
middle,"[8, 12, 5]",98.991
middle,"[8, 12, 4]",98.99
middle,"[8, 12, 3]",98.989
middle,"[8, 12, 2]",98.988
middle,"[8, 11, 14]",98.6
middle,"[8, 11, 13]",98.599
middle,"[8, 11, 12]",98.598
middle,"[8, 11, 10]",98.596
middle,"[8, 11, 9]",98.595
middle,"[8, 11, 8]",98.594
middle,"[8, 11, 7]",98.593
middle,"[8, 11, 6]",98.592
middle,"[8, 11, 5]",98.591
middle,"[8, 11, 4]",98.59
middle,"[8, 11, 3]",98.589
middle,"[8, 11, 2]",98.588
middle,"[8, 10, 14]",98.2
middle,"[8, 10, 13]",98.199
middle,"[8, 10, 12]",98.198
middle,"[8, 10, 11]",98.197
middle,"[8, 10, 9]",98.195
middle,"[8, 10, 8]",98.194
middle,"[8, 10, 7]",98.193
middle,"[8, 10, 6]",98.192
middle,"[8, 10, 5]",98.191
middle,"[8, 10, 4]",98.19
middle,"[8, 10, 3]",98.189
middle,"[8, 10, 2]",98.188
middle,"[8, 9, 14]",97.8
middle,"[8, 9, 13]",97.799
middle,"[8, 9, 12]",97.798
middle,"[8, 9, 11]",97.797
middle,"[8, 9, 10]",97.796
middle,"[8, 9, 8]",97.794
middle,"[8, 9, 7]",97.793
middle,"[8, 9, 6]",97.792
middle,"[8, 9, 5]",97.791
middle,"[8, 9, 4]",97.79
middle,"[8, 9, 3]",97.789
middle,"[8, 9, 2]",97.788
middle,"[8, 8, 14]",97.4
middle,"[8, 8, 13]",97.399
middle,"[8, 8, 12]",97.398
middle,"[8, 8, 11]",97.397
middle,"[8, 8, 10]",97.396
middle,"[8, 8, 9]",97.395
middle,"[8, 8, 7]",97.393
middle,"[8, 8, 6]",97.392
middle,"[8, 8, 5]",97.391
middle,"[8, 8, 4]",97.39
middle,"[8, 8, 3]",97.389
middle,"[8, 8, 2]",97.388
middle,"[8, 7, 14]",97.0
middle,"[8, 7, 13]",96.999
middle,"[8, 7, 12]",96.998
middle,"[8, 7, 11]",96.997
middle,"[8, 7, 10]",96.996
middle,"[8, 7, 9]",96.995
middle,"[8, 7, 8]",96.994
middle,"[8, 7, 6]",96.992
middle,"[8, 7, 5]",96.991
middle,"[8, 7, 4]",96.99
middle,"[8, 7, 3]",96.989
middle,"[8, 7, 2]",96.988
middle,"[8, 6, 14]",96.6
middle,"[8, 6, 13]",96.599
middle,"[8, 6, 12]",96.598
middle,"[8, 6, 11]",96.597
middle,"[8, 6, 10]",96.596
middle,"[8, 6, 9]",96.595
middle,"[8, 6, 8]",96.594
middle,"[8, 6, 7]",96.593
middle,"[8, 6, 5]",96.591
middle,"[8, 6, 4]",96.59
middle,"[8, 6, 3]",96.589
middle,"[8, 6, 2]",96.588
middle,"[8, 5, 14]",96.2
middle,"[8, 5, 13]",96.199
middle,"[8, 5, 12]",96.198
middle,"[8, 5, 11]",96.197
middle,"[8, 5, 10]",96.196
middle,"[8, 5, 9]",96.195
middle,"[8, 5, 8]",96.194
middle,"[8, 5, 7]",96.193
middle,"[8, 5, 6]",96.192
middle,"[8, 5, 4]",96.19
middle,"[8, 5, 3]",96.189
middle,"[8, 5, 2]",96.188
middle,"[8, 4, 14]",95.8
middle,"[8, 4, 13]",95.799
middle,"[8, 4, 12]",95.798
middle,"[8, 4, 11]",95.797
middle,"[8, 4, 10]",95.796
middle,"[8, 4, 9]",95.795
middle,"[8, 4, 8]",95.794
middle,"[8, 4, 7]",95.793
middle,"[8, 4, 6]",95.792
middle,"[8, 4, 5]",95.791
middle,"[8, 4, 3]",95.789
middle,"[8, 4, 2]",95.788
