position,hand_rank_tuple,wins,total_matchups,netev
front,"(2, 9, 14)",1,1,-0.507508
front,"(2, 9, 13)",1,1,-0.510654
front,"(2, 9, 12)",1,1,-0.513800
front,"(2, 9, 11)",1,1,-0.516946
front,"(2, 9, 10)",1,1,-0.520092
front,"(2, 9, 8)",1,1,-0.523238
front,"(2, 9, 7)",1,1,-0.526383
front,"(2, 9, 6)",1,1,-0.529529
front,"(2, 9, 5)",1,1,-0.532675
front,"(2, 9, 4)",1,1,-0.535821
front,"(2, 9, 3)",1,1,-0.538967
front,"(2, 9, 2)",1,1,-0.542113
front,"(2, 8, 14)",1,1,-0.544997
front,"(2, 8, 13)",1,1,-0.548143
front,"(2, 8, 12)",1,1,-0.551289
front,"(2, 8, 11)",1,1,-0.554435
front,"(2, 8, 10)",1,1,-0.557581
front,"(2, 8, 9)",1,1,-0.560726
front,"(2, 8, 7)",1,1,-0.563872
front,"(2, 8, 6)",1,1,-0.567018
front,"(2, 8, 5)",1,1,-0.570164
front,"(2, 8, 4)",1,1,-0.573310
front,"(2, 8, 3)",1,1,-0.576456
front,"(2, 8, 2)",1,1,-0.579602
front,"(2, 7, 14)",1,1,-0.582486
front,"(2, 7, 13)",1,1,-0.585632
front,"(2, 7, 12)",1,1,-0.588778
front,"(2, 7, 11)",1,1,-0.591923
front,"(2, 7, 10)",1,1,-0.595069
front,"(2, 7, 9)",1,1,-0.598215
front,"(2, 7, 8)",1,1,-0.601361
front,"(2, 7, 6)",1,1,-0.604507
front,"(2, 7, 5)",1,1,-0.607653
front,"(2, 7, 4)",1,1,-0.610799
front,"(2, 7, 3)",1,1,-0.613945
front,"(2, 7, 2)",1,1,-0.617091
front,"(2, 6, 14)",1,1,-0.619975
front,"(2, 6, 13)",1,1,-0.623121
front,"(2, 6, 12)",1,1,-0.626266
front,"(2, 6, 11)",1,1,-0.629412
front,"(2, 6, 10)",1,1,-0.632558
front,"(2, 6, 9)",1,1,-0.635704
